# split	stem	reason
train	5670_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5608_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5788_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5702_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5755_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5728_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5762_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5612_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5541_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5567_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5683_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5630_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5675_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5688_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5537_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5747_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5785_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5638_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5682_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5671_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5748_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5705_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5678_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5588_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5563_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5644_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5547_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5804_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5607_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5687_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5538_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5712_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5685_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5648_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5775_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5622_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
train	5746_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5773_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5725_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5752_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5761_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5737_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5802_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5765_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5751_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5806_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5573_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5729_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5659_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5695_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5550_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5771_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5649_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5650_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5749_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5733_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5570_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5600_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5576_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5677_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5759_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5596_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5676_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5571_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5611_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5641_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5613_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5667_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5652_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5711_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5668_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5625_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5797_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5555_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5669_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5618_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5564_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5766_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5721_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5546_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5651_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5709_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5643_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5699_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5723_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5706_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5724_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5562_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5738_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5792_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5798_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5577_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5665_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5623_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5693_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5635_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5542_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5805_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5536_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5590_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5736_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5595_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5714_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5727_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5697_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5692_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5789_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5566_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5594_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5776_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5632_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5565_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5647_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5734_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5674_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5720_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5704_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5770_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5581_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5615_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5556_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5764_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5640_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5637_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5642_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5689_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5657_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5783_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5585_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5543_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5758_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5778_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5716_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5732_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5616_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5781_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5605_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5769_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5757_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5628_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5551_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5730_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5787_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5627_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5624_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	6065_0_0	image 含 NaN/Inf
val	5772_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5703_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5719_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5603_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5602_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5708_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5568_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5589_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5672_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5791_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5696_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5584_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5636_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5614_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5549_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5673_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5731_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	6066_0_0	image 含 NaN/Inf
val	5698_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5620_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5756_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5739_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5559_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5735_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5540_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5654_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5582_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5626_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 6)
val	5552_0_0	读取失败: corrupted tile @ (0, 0, 0, 0, 0) cannot be reshaped from (0,) to (1, 128, 128, 5)
