# split	stem	reason
train	40298	image 含 NaN/Inf
train	19294	image 含 NaN/Inf
train	59018	image 含 NaN/Inf
train	32400	image 含 NaN/Inf
train	5733	image 含 NaN/Inf
train	44620	image 含 NaN/Inf
train	27235	image 含 NaN/Inf
train	27527	image 含 NaN/Inf
train	8171	image 含 NaN/Inf
train	5871	image 含 NaN/Inf
train	27548	image 含 NaN/Inf
train	26193	image 含 NaN/Inf
train	40299	image 含 NaN/Inf
train	46945	image 含 NaN/Inf
train	61767	image 含 NaN/Inf
train	40722	image 含 NaN/Inf
train	47389	image 含 NaN/Inf
train	5336	image 含 NaN/Inf
train	59673	image 含 NaN/Inf
train	59678	image 含 NaN/Inf
train	47387	image 含 NaN/Inf
train	58341	image 含 NaN/Inf
train	40468	image 含 NaN/Inf
train	27947	image 含 NaN/Inf
train	5734	image 含 NaN/Inf
train	40717	image 含 NaN/Inf
train	59302	image 含 NaN/Inf
train	28219	image 含 NaN/Inf
train	26197	image 含 NaN/Inf
train	58007	image 含 NaN/Inf
train	20787	image 含 NaN/Inf
train	28668	image 含 NaN/Inf
train	52720	image 含 NaN/Inf
train	27492	image 含 NaN/Inf
train	26192	image 含 NaN/Inf
train	36808	image 含 NaN/Inf
train	32407	image 含 NaN/Inf
train	26189	image 含 NaN/Inf
train	36806	image 含 NaN/Inf
train	27515	image 含 NaN/Inf
train	27230	image 含 NaN/Inf
train	23400	image 含 NaN/Inf
train	49864	image 含 NaN/Inf
train	14063	image 含 NaN/Inf
train	9120	image 含 NaN/Inf
train	36448	image 含 NaN/Inf
train	52719	image 含 NaN/Inf
train	23408	image 含 NaN/Inf
train	47062	image 含 NaN/Inf
train	20781	image 含 NaN/Inf
train	5341	image 含 NaN/Inf
train	26190	image 含 NaN/Inf
train	32468	image 含 NaN/Inf
train	3063	image 含 NaN/Inf
train	21216	image 含 NaN/Inf
train	6636	image 含 NaN/Inf
train	59666	image 含 NaN/Inf
train	28676	image 含 NaN/Inf
train	40302	image 含 NaN/Inf
train	47371	image 含 NaN/Inf
train	23403	image 含 NaN/Inf
train	27782	image 含 NaN/Inf
train	36450	image 含 NaN/Inf
train	52715	image 含 NaN/Inf
train	356	image 含 NaN/Inf
train	27516	image 含 NaN/Inf
train	36803	image 含 NaN/Inf
train	14821	image 含 NaN/Inf
train	35525	image 含 NaN/Inf
train	6625	image 含 NaN/Inf
train	56702	image 含 NaN/Inf
train	58450	image 含 NaN/Inf
train	14956	image 含 NaN/Inf
train	27541	image 含 NaN/Inf
train	14954	image 含 NaN/Inf
train	46954	image 含 NaN/Inf
train	40469	image 含 NaN/Inf
train	45778	image 含 NaN/Inf
train	3140	image 含 NaN/Inf
train	59672	image 含 NaN/Inf
train	40728	image 含 NaN/Inf
train	32465	image 含 NaN/Inf
train	19285	image 含 NaN/Inf
train	12716	image 含 NaN/Inf
train	40297	image 含 NaN/Inf
train	19280	image 含 NaN/Inf
train	28673	image 含 NaN/Inf
train	53184	image 含 NaN/Inf
train	58009	image 含 NaN/Inf
train	47364	image 含 NaN/Inf
train	27491	image 含 NaN/Inf
train	58454	image 含 NaN/Inf
train	353	image 含 NaN/Inf
train	27485	image 含 NaN/Inf
train	40464	image 含 NaN/Inf
train	27503	image 含 NaN/Inf
train	54828	image 含 NaN/Inf
train	27233	image 含 NaN/Inf
train	46950	image 含 NaN/Inf
train	53185	image 含 NaN/Inf
train	27509	image 含 NaN/Inf
train	47953	image 含 NaN/Inf
train	15426	image 含 NaN/Inf
train	58451	image 含 NaN/Inf
train	59014	image 含 NaN/Inf
train	56749	image 含 NaN/Inf
train	36809	image 含 NaN/Inf
train	19270	image 含 NaN/Inf
train	12390	image 含 NaN/Inf
train	56525	image 含 NaN/Inf
train	27934	image 含 NaN/Inf
train	27486	image 含 NaN/Inf
train	5342	image 含 NaN/Inf
train	26188	image 含 NaN/Inf
train	52717	image 含 NaN/Inf
train	47390	image 含 NaN/Inf
train	358	image 含 NaN/Inf
train	20777	image 含 NaN/Inf
train	56701	image 含 NaN/Inf
train	3121	image 含 NaN/Inf
train	27534	image 含 NaN/Inf
train	59496	image 含 NaN/Inf
train	27543	image 含 NaN/Inf
train	13491	image 含 NaN/Inf
train	59296	image 含 NaN/Inf
train	49860	image 含 NaN/Inf
train	27563	image 含 NaN/Inf
train	58340	image 含 NaN/Inf
train	363	image 含 NaN/Inf
train	59676	image 含 NaN/Inf
train	5345	image 含 NaN/Inf
train	27494	image 含 NaN/Inf
train	27558	image 含 NaN/Inf
train	8173	image 含 NaN/Inf
train	56758	image 含 NaN/Inf
train	27535	image 含 NaN/Inf
train	19277	image 含 NaN/Inf
train	26199	image 含 NaN/Inf
train	40294	image 含 NaN/Inf
train	21214	image 含 NaN/Inf
train	20783	image 含 NaN/Inf
train	22548	image 含 NaN/Inf
train	27572	image 含 NaN/Inf
train	27518	image 含 NaN/Inf
train	3083	image 含 NaN/Inf
train	59358	image 含 NaN/Inf
train	5344	image 含 NaN/Inf
train	41340	image 含 NaN/Inf
train	28671	image 含 NaN/Inf
train	14026	image 含 NaN/Inf
train	57611	image 含 NaN/Inf
train	28682	image 含 NaN/Inf
train	27496	image 含 NaN/Inf
train	14963	image 含 NaN/Inf
train	61179	image 含 NaN/Inf
train	61766	image 含 NaN/Inf
train	40303	image 含 NaN/Inf
train	27783	image 含 NaN/Inf
train	12382	image 含 NaN/Inf
train	3062	image 含 NaN/Inf
train	30522	image 含 NaN/Inf
train	366	image 含 NaN/Inf
train	59670	image 含 NaN/Inf
train	59007	image 含 NaN/Inf
train	19291	image 含 NaN/Inf
train	59491	image 含 NaN/Inf
train	56755	image 含 NaN/Inf
train	27933	image 含 NaN/Inf
train	5346	image 含 NaN/Inf
train	27785	image 含 NaN/Inf
train	15421	image 含 NaN/Inf
train	59669	image 含 NaN/Inf
train	27578	image 含 NaN/Inf
train	26196	image 含 NaN/Inf
train	26195	image 含 NaN/Inf
train	47388	image 含 NaN/Inf
train	29888	image 含 NaN/Inf
train	54932	image 含 NaN/Inf
train	52714	image 含 NaN/Inf
train	59295	image 含 NaN/Inf
train	12715	image 含 NaN/Inf
train	32473	image 含 NaN/Inf
train	58008	image 含 NaN/Inf
train	3142	image 含 NaN/Inf
train	27490	image 含 NaN/Inf
train	44051	image 含 NaN/Inf
train	56761	image 含 NaN/Inf
train	58453	image 含 NaN/Inf
train	5728	image 含 NaN/Inf
train	14046	image 含 NaN/Inf
train	59677	image 含 NaN/Inf
train	59674	image 含 NaN/Inf
train	46949	image 含 NaN/Inf
train	16420	image 含 NaN/Inf
train	36447	image 含 NaN/Inf
train	59665	image 含 NaN/Inf
train	12385	image 含 NaN/Inf
train	16421	image 含 NaN/Inf
train	43537	image 含 NaN/Inf
train	27517	image 含 NaN/Inf
train	3131	image 含 NaN/Inf
train	42565	image 含 NaN/Inf
train	23415	image 含 NaN/Inf
train	3134	image 含 NaN/Inf
train	52721	image 含 NaN/Inf
train	27528	image 含 NaN/Inf
train	32469	image 含 NaN/Inf
train	27537	image 含 NaN/Inf
train	58260	image 含 NaN/Inf
train	32463	image 含 NaN/Inf
train	19278	image 含 NaN/Inf
train	19282	image 含 NaN/Inf
train	27495	image 含 NaN/Inf
train	59294	image 含 NaN/Inf
train	14051	image 含 NaN/Inf
train	27529	image 含 NaN/Inf
train	32404	image 含 NaN/Inf
train	28667	image 含 NaN/Inf
train	27569	image 含 NaN/Inf
train	59009	image 含 NaN/Inf
train	56523	image 含 NaN/Inf
train	27571	image 含 NaN/Inf
train	52463	image 含 NaN/Inf
train	27506	image 含 NaN/Inf
train	56751	image 含 NaN/Inf
train	23409	image 含 NaN/Inf
train	20784	image 含 NaN/Inf
train	12391	image 含 NaN/Inf
train	12380	image 含 NaN/Inf
train	14820	image 含 NaN/Inf
train	27949	image 含 NaN/Inf
train	47076	image 含 NaN/Inf
train	47401	image 含 NaN/Inf
train	36442	image 含 NaN/Inf
train	12384	image 含 NaN/Inf
train	40296	image 含 NaN/Inf
train	357	image 含 NaN/Inf
train	59360	image 含 NaN/Inf
train	6624	image 含 NaN/Inf
train	14952	image 含 NaN/Inf
train	40463	image 含 NaN/Inf
train	47050	image 含 NaN/Inf
train	27539	image 含 NaN/Inf
train	27497	image 含 NaN/Inf
train	36449	image 含 NaN/Inf
train	32462	image 含 NaN/Inf
train	19273	image 含 NaN/Inf
train	59301	image 含 NaN/Inf
train	28694	image 含 NaN/Inf
train	895	image 含 NaN/Inf
train	28669	image 含 NaN/Inf
train	45782	image 含 NaN/Inf
train	5857	image 含 NaN/Inf
train	26200	image 含 NaN/Inf
train	32401	image 含 NaN/Inf
train	36353	image 含 NaN/Inf
train	56760	image 含 NaN/Inf
train	51687	image 含 NaN/Inf
train	56757	image 含 NaN/Inf
train	59300	image 含 NaN/Inf
train	27502	image 含 NaN/Inf
train	44044	image 含 NaN/Inf
train	46952	image 含 NaN/Inf
train	44621	image 含 NaN/Inf
train	54869	image 含 NaN/Inf
train	36444	image 含 NaN/Inf
train	12383	image 含 NaN/Inf
train	27522	image 含 NaN/Inf
train	59298	image 含 NaN/Inf
train	40304	image 含 NaN/Inf
train	359	image 含 NaN/Inf
train	40727	image 含 NaN/Inf
train	15424	image 含 NaN/Inf
train	15419	image 含 NaN/Inf
train	40718	image 含 NaN/Inf
train	28681	image 含 NaN/Inf
train	56750	image 含 NaN/Inf
train	3133	image 含 NaN/Inf
train	27489	image 含 NaN/Inf
train	27587	image 含 NaN/Inf
train	49865	image 含 NaN/Inf
train	47393	image 含 NaN/Inf
train	58447	image 含 NaN/Inf
train	9119	image 含 NaN/Inf
train	59495	image 含 NaN/Inf
train	14824	image 含 NaN/Inf
train	59492	image 含 NaN/Inf
train	52724	image 含 NaN/Inf
train	27510	image 含 NaN/Inf
train	9118	image 含 NaN/Inf
train	27559	image 含 NaN/Inf
train	36446	image 含 NaN/Inf
train	36452	image 含 NaN/Inf
train	23411	image 含 NaN/Inf
train	6629	image 含 NaN/Inf
train	27542	image 含 NaN/Inf
train	50398	image 含 NaN/Inf
train	362	image 含 NaN/Inf
train	54945	image 含 NaN/Inf
train	350	image 含 NaN/Inf
train	23412	image 含 NaN/Inf
train	41341	image 含 NaN/Inf
train	59008	image 含 NaN/Inf
train	40720	image 含 NaN/Inf
train	27536	image 含 NaN/Inf
train	24358	image 含 NaN/Inf
train	27581	image 含 NaN/Inf
train	29890	image 含 NaN/Inf
train	12714	image 含 NaN/Inf
train	5737	image 含 NaN/Inf
train	28685	image 含 NaN/Inf
train	27565	image 含 NaN/Inf
train	28686	image 含 NaN/Inf
train	26194	image 含 NaN/Inf
train	27547	image 含 NaN/Inf
train	40729	image 含 NaN/Inf
train	14823	image 含 NaN/Inf
train	15422	image 含 NaN/Inf
train	59305	image 含 NaN/Inf
train	61180	image 含 NaN/Inf
train	27512	image 含 NaN/Inf
train	47068	image 含 NaN/Inf
train	27507	image 含 NaN/Inf
train	44618	image 含 NaN/Inf
train	27526	image 含 NaN/Inf
train	52726	image 含 NaN/Inf
train	27525	image 含 NaN/Inf
train	28687	image 含 NaN/Inf
train	40470	image 含 NaN/Inf
train	59667	image 含 NaN/Inf
train	27784	image 含 NaN/Inf
train	23410	image 含 NaN/Inf
train	22546	image 含 NaN/Inf
train	19279	image 含 NaN/Inf
train	43150	image 含 NaN/Inf
train	20776	image 含 NaN/Inf
train	61372	image 含 NaN/Inf
train	47377	image 含 NaN/Inf
train	12662	image 含 NaN/Inf
train	32466	image 含 NaN/Inf
train	5338	image 含 NaN/Inf
train	59303	image 含 NaN/Inf
train	61373	image 含 NaN/Inf
train	59668	image 含 NaN/Inf
train	5340	image 含 NaN/Inf
train	14958	image 含 NaN/Inf
train	352	image 含 NaN/Inf
train	59493	image 含 NaN/Inf
train	59357	image 含 NaN/Inf
train	34495	image 含 NaN/Inf
train	12381	image 含 NaN/Inf
train	40723	image 含 NaN/Inf
train	52718	image 含 NaN/Inf
train	27556	image 含 NaN/Inf
train	28689	image 含 NaN/Inf
val	27232	image 含 NaN/Inf
val	28688	image 含 NaN/Inf
val	20786	image 含 NaN/Inf
val	59359	image 含 NaN/Inf
val	19284	image 含 NaN/Inf
val	27514	image 含 NaN/Inf
val	12392	image 含 NaN/Inf
val	14237	image 含 NaN/Inf
val	32405	image 含 NaN/Inf
val	59297	image 含 NaN/Inf
val	45984	image 含 NaN/Inf
val	20785	image 含 NaN/Inf
val	21213	image 含 NaN/Inf
val	53898	image 含 NaN/Inf
val	36451	image 含 NaN/Inf
val	47063	image 含 NaN/Inf
val	28670	image 含 NaN/Inf
val	5729	image 含 NaN/Inf
val	27549	image 含 NaN/Inf
val	19286	image 含 NaN/Inf
val	31205	image 含 NaN/Inf
val	3074	image 含 NaN/Inf
val	32470	image 含 NaN/Inf
val	20774	image 含 NaN/Inf
val	59013	image 含 NaN/Inf
val	23406	image 含 NaN/Inf
val	28679	image 含 NaN/Inf
val	27523	image 含 NaN/Inf
val	27493	image 含 NaN/Inf
val	15430	image 含 NaN/Inf
val	45981	image 含 NaN/Inf
val	36443	image 含 NaN/Inf
val	47392	image 含 NaN/Inf
val	47297	image 含 NaN/Inf
val	23404	image 含 NaN/Inf
val	19269	image 含 NaN/Inf
val	27524	image 含 NaN/Inf
val	49861	image 含 NaN/Inf
val	29887	image 含 NaN/Inf
val	10317	image 含 NaN/Inf
val	3128	image 含 NaN/Inf
val	27950	image 含 NaN/Inf
val	12658	image 含 NaN/Inf
val	27560	image 含 NaN/Inf
val	19276	image 含 NaN/Inf
val	32464	image 含 NaN/Inf
val	40719	image 含 NaN/Inf
val	56700	image 含 NaN/Inf
val	27557	image 含 NaN/Inf
val	5337	image 含 NaN/Inf
val	3064	image 含 NaN/Inf
val	32471	image 含 NaN/Inf
val	5731	image 含 NaN/Inf
val	40990	image 含 NaN/Inf
val	3082	image 含 NaN/Inf
val	27519	image 含 NaN/Inf
val	5738	image 含 NaN/Inf
val	360	image 含 NaN/Inf
val	47072	image 含 NaN/Inf
val	19293	image 含 NaN/Inf
val	59671	image 含 NaN/Inf
val	47394	image 含 NaN/Inf
val	58261	image 含 NaN/Inf
val	27551	image 含 NaN/Inf
val	365	image 含 NaN/Inf
val	23405	image 含 NaN/Inf
val	19271	image 含 NaN/Inf
val	354	image 含 NaN/Inf
val	52462	image 含 NaN/Inf
val	56529	image 含 NaN/Inf
val	12720	image 含 NaN/Inf
val	5347	image 含 NaN/Inf
val	40295	image 含 NaN/Inf
val	15427	image 含 NaN/Inf
val	12674	image 含 NaN/Inf
val	5730	image 含 NaN/Inf
val	5739	image 含 NaN/Inf
val	35524	image 含 NaN/Inf
val	27787	image 含 NaN/Inf
val	49862	image 含 NaN/Inf
val	46944	image 含 NaN/Inf
val	54817	image 含 NaN/Inf
val	27530	image 含 NaN/Inf
val	44052	image 含 NaN/Inf
val	59675	image 含 NaN/Inf
val	12386	image 含 NaN/Inf
val	27511	image 含 NaN/Inf
val	27498	image 含 NaN/Inf
val	30528	image 含 NaN/Inf
val	56759	image 含 NaN/Inf
val	19274	image 含 NaN/Inf
val	52725	image 含 NaN/Inf
val	27582	image 含 NaN/Inf
val	58448	image 含 NaN/Inf
val	59299	image 含 NaN/Inf
val	59012	image 含 NaN/Inf
val	10316	image 含 NaN/Inf
val	28680	image 含 NaN/Inf
val	19275	image 含 NaN/Inf
val	361	image 含 NaN/Inf
val	27538	image 含 NaN/Inf
val	58449	image 含 NaN/Inf
val	59304	image 含 NaN/Inf
val	27579	image 含 NaN/Inf
val	56524	image 含 NaN/Inf
val	5736	image 含 NaN/Inf
val	46943	image 含 NaN/Inf
val	28683	image 含 NaN/Inf
val	14822	image 含 NaN/Inf
val	51781	image 含 NaN/Inf
val	59490	image 含 NaN/Inf
val	27554	image 含 NaN/Inf
val	14953	image 含 NaN/Inf
val	3144	image 含 NaN/Inf
val	27564	image 含 NaN/Inf
val	44619	image 含 NaN/Inf
val	40293	image 含 NaN/Inf
val	14951	image 含 NaN/Inf
val	14961	image 含 NaN/Inf
val	40736	image 含 NaN/Inf
val	40721	image 含 NaN/Inf
val	12718	image 含 NaN/Inf
val	43151	image 含 NaN/Inf
val	45998	image 含 NaN/Inf
val	14950	image 含 NaN/Inf
val	61390	image 含 NaN/Inf
val	27568	image 含 NaN/Inf
val	27229	image 含 NaN/Inf
val	46951	image 含 NaN/Inf
val	43538	image 含 NaN/Inf
val	3122	image 含 NaN/Inf
val	52716	image 含 NaN/Inf
val	3141	image 含 NaN/Inf
val	32467	image 含 NaN/Inf
val	27513	image 含 NaN/Inf
val	59016	image 含 NaN/Inf
val	46948	image 含 NaN/Inf
val	58005	image 含 NaN/Inf
val	3112	image 含 NaN/Inf
val	46947	image 含 NaN/Inf
val	56752	image 含 NaN/Inf
val	49866	image 含 NaN/Inf
val	59494	image 含 NaN/Inf
val	894	image 含 NaN/Inf
val	23413	image 含 NaN/Inf
val	27561	image 含 NaN/Inf
val	27580	image 含 NaN/Inf
val	56528	image 含 NaN/Inf
val	14246	image 含 NaN/Inf
val	14960	image 含 NaN/Inf
val	56756	image 含 NaN/Inf
val	27540	image 含 NaN/Inf
val	32403	image 含 NaN/Inf
val	52723	image 含 NaN/Inf
val	20775	image 含 NaN/Inf
val	5339	image 含 NaN/Inf
val	40712	image 含 NaN/Inf
val	40301	image 含 NaN/Inf
val	56526	image 含 NaN/Inf
val	36445	image 含 NaN/Inf
val	31198	image 含 NaN/Inf
val	61517	image 含 NaN/Inf
val	19272	image 含 NaN/Inf
val	23402	image 含 NaN/Inf
val	5732	image 含 NaN/Inf
val	6622	image 含 NaN/Inf
val	27488	image 含 NaN/Inf
val	20782	image 含 NaN/Inf
val	27520	image 含 NaN/Inf
val	27234	image 含 NaN/Inf
val	8172	image 含 NaN/Inf
val	27948	image 含 NaN/Inf
val	27786	image 含 NaN/Inf
val	23407	image 含 NaN/Inf
