# split	stem	reason
train	5841	image 含 NaN/Inf
train	26539	image 含 NaN/Inf
train	28126	image 含 NaN/Inf
train	35864	image 含 NaN/Inf
train	26531	image 含 NaN/Inf
train	12525	image 含 NaN/Inf
train	52802	image 含 NaN/Inf
train	60210	image 含 NaN/Inf
train	26540	image 含 NaN/Inf
train	26527	image 含 NaN/Inf
train	32739	image 含 NaN/Inf
train	12514	image 含 NaN/Inf
train	40641	image 含 NaN/Inf
train	15091	image 含 NaN/Inf
train	5845	image 含 NaN/Inf
train	60203	image 含 NaN/Inf
train	59895	image 含 NaN/Inf
train	53065	image 含 NaN/Inf
train	5849	image 含 NaN/Inf
train	15095	image 含 NaN/Inf
train	59830	image 含 NaN/Inf
train	52120	image 含 NaN/Inf
train	356	image 含 NaN/Inf
train	59835	image 含 NaN/Inf
train	15090	image 含 NaN/Inf
train	50204	image 含 NaN/Inf
train	3250	image 含 NaN/Inf
train	61907	image 含 NaN/Inf
train	53061	image 含 NaN/Inf
train	14956	image 含 NaN/Inf
train	14954	image 含 NaN/Inf
train	30226	image 含 NaN/Inf
train	32805	image 含 NaN/Inf
train	894	image 含 NaN/Inf
train	58793	image 含 NaN/Inf
train	60200	image 含 NaN/Inf
train	3254	image 含 NaN/Inf
train	26538	image 含 NaN/Inf
train	60029	image 含 NaN/Inf
train	353	image 含 NaN/Inf
train	46321	image 含 NaN/Inf
train	36789	image 含 NaN/Inf
train	15083	image 含 NaN/Inf
train	26530	image 含 NaN/Inf
train	23749	image 含 NaN/Inf
train	47281	image 含 NaN/Inf
train	32802	image 含 NaN/Inf
train	32810	image 含 NaN/Inf
train	60028	image 含 NaN/Inf
train	50203	image 含 NaN/Inf
train	40638	image 含 NaN/Inf
train	46320	image 含 NaN/Inf
train	58600	image 含 NaN/Inf
train	358	image 含 NaN/Inf
train	23743	image 含 NaN/Inf
train	60201	image 含 NaN/Inf
train	32807	image 含 NaN/Inf
train	15084	image 含 NaN/Inf
train	363	image 含 NaN/Inf
train	23755	image 含 NaN/Inf
train	57098	image 含 NaN/Inf
train	5838	image 含 NaN/Inf
train	57089	image 含 NaN/Inf
train	27573	image 含 NaN/Inf
train	60204	image 含 NaN/Inf
train	44957	image 含 NaN/Inf
train	60212	image 含 NaN/Inf
train	47286	image 含 NaN/Inf
train	27572	image 含 NaN/Inf
train	59893	image 含 NaN/Inf
train	58679	image 含 NaN/Inf
train	53064	image 含 NaN/Inf
train	15088	image 含 NaN/Inf
train	9228	image 含 NaN/Inf
train	36790	image 含 NaN/Inf
train	16554	image 含 NaN/Inf
train	32743	image 含 NaN/Inf
train	41678	image 含 NaN/Inf
train	60027	image 含 NaN/Inf
train	23739	image 含 NaN/Inf
train	366	image 含 NaN/Inf
train	60209	image 含 NaN/Inf
train	26533	image 含 NaN/Inf
train	43876	image 含 NaN/Inf
train	58791	image 含 NaN/Inf
train	40639	image 含 NaN/Inf
train	36784	image 含 NaN/Inf
train	12515	image 含 NaN/Inf
train	8281	image 含 NaN/Inf
train	22682	image 含 NaN/Inf
train	57090	image 含 NaN/Inf
train	58786	image 含 NaN/Inf
train	62302	image 含 NaN/Inf
train	28121	image 含 NaN/Inf
train	40632	image 含 NaN/Inf
train	47293	image 含 NaN/Inf
train	59833	image 含 NaN/Inf
train	57094	image 含 NaN/Inf
train	895	image 含 NaN/Inf
train	8282	image 含 NaN/Inf
train	9230	image 含 NaN/Inf
train	28286	image 含 NaN/Inf
train	16553	image 含 NaN/Inf
train	58790	image 含 NaN/Inf
train	27569	image 含 NaN/Inf
train	27571	image 含 NaN/Inf
train	59834	image 含 NaN/Inf
train	35863	image 含 NaN/Inf
train	12523	image 含 NaN/Inf
train	41679	image 含 NaN/Inf
train	44960	image 含 NaN/Inf
train	357	image 含 NaN/Inf
train	35865	image 含 NaN/Inf
train	40635	image 含 NaN/Inf
train	47289	image 含 NaN/Inf
train	56866	image 含 NaN/Inf
train	56864	image 含 NaN/Inf
train	28288	image 含 NaN/Inf
train	36785	image 含 NaN/Inf
train	60026	image 含 NaN/Inf
train	12522	image 含 NaN/Inf
train	15094	image 含 NaN/Inf
train	28122	image 含 NaN/Inf
train	5844	image 含 NaN/Inf
train	47290	image 含 NaN/Inf
train	5847	image 含 NaN/Inf
train	59482	image 含 NaN/Inf
train	53056	image 含 NaN/Inf
train	27574	image 含 NaN/Inf
train	53058	image 含 NaN/Inf
train	359	image 含 NaN/Inf
train	12518	image 含 NaN/Inf
train	59892	image 含 NaN/Inf
train	32746	image 含 NaN/Inf
train	58346	image 含 NaN/Inf
train	57039	image 含 NaN/Inf
train	26534	image 含 NaN/Inf
train	32803	image 含 NaN/Inf
train	60213	image 含 NaN/Inf
train	23744	image 含 NaN/Inf
train	23740	image 含 NaN/Inf
train	58599	image 含 NaN/Inf
train	32740	image 含 NaN/Inf
train	32808	image 含 NaN/Inf
train	22685	image 含 NaN/Inf
train	53054	image 含 NaN/Inf
train	59479	image 含 NaN/Inf
train	362	image 含 NaN/Inf
train	15093	image 含 NaN/Inf
train	350	image 含 NaN/Inf
train	21347	image 含 NaN/Inf
train	58789	image 含 NaN/Inf
train	15089	image 含 NaN/Inf
train	58347	image 含 NaN/Inf
train	23754	image 含 NaN/Inf
train	3253	image 含 NaN/Inf
train	61715	image 含 NaN/Inf
train	36781	image 含 NaN/Inf
train	47285	image 含 NaN/Inf
train	12512	image 含 NaN/Inf
train	50200	image 含 NaN/Inf
train	40637	image 含 NaN/Inf
train	60208	image 含 NaN/Inf
train	44958	image 含 NaN/Inf
train	28287	image 含 NaN/Inf
train	56865	image 含 NaN/Inf
train	47287	image 含 NaN/Inf
train	23752	image 含 NaN/Inf
train	21349	image 含 NaN/Inf
train	54237	image 含 NaN/Inf
train	61714	image 含 NaN/Inf
train	47284	image 含 NaN/Inf
train	352	image 含 NaN/Inf
train	9229	image 含 NaN/Inf
train	53057	image 含 NaN/Inf
train	36787	image 含 NaN/Inf
train	43877	image 含 NaN/Inf
train	12516	image 含 NaN/Inf
val	3252	image 含 NaN/Inf
val	61925	image 含 NaN/Inf
val	59478	image 含 NaN/Inf
val	32804	image 含 NaN/Inf
val	57091	image 含 NaN/Inf
val	24697	image 含 NaN/Inf
val	59485	image 含 NaN/Inf
val	52801	image 含 NaN/Inf
val	50202	image 含 NaN/Inf
val	36791	image 含 NaN/Inf
val	57097	image 含 NaN/Inf
val	5846	image 含 NaN/Inf
val	27568	image 含 NaN/Inf
val	46337	image 含 NaN/Inf
val	58601	image 含 NaN/Inf
val	36786	image 含 NaN/Inf
val	12524	image 含 NaN/Inf
val	50205	image 含 NaN/Inf
val	40634	image 含 NaN/Inf
val	28125	image 含 NaN/Inf
val	10450	image 含 NaN/Inf
val	59484	image 含 NaN/Inf
val	32744	image 含 NaN/Inf
val	52804	image 含 NaN/Inf
val	46322	image 含 NaN/Inf
val	355	image 含 NaN/Inf
val	15096	image 含 NaN/Inf
val	5842	image 含 NaN/Inf
val	60025	image 含 NaN/Inf
val	53062	image 含 NaN/Inf
val	60031	image 含 NaN/Inf
val	47292	image 含 NaN/Inf
val	57040	image 含 NaN/Inf
val	12520	image 含 NaN/Inf
val	36788	image 含 NaN/Inf
val	32812	image 含 NaN/Inf
val	22681	image 含 NaN/Inf
val	59477	image 含 NaN/Inf
val	57093	image 含 NaN/Inf
val	23753	image 含 NaN/Inf
val	46323	image 含 NaN/Inf
val	53053	image 含 NaN/Inf
val	41680	image 含 NaN/Inf
val	59832	image 含 NaN/Inf
val	28289	image 含 NaN/Inf
val	59474	image 含 NaN/Inf
val	40643	image 含 NaN/Inf
val	15086	image 含 NaN/Inf
val	59476	image 含 NaN/Inf
val	26537	image 含 NaN/Inf
val	59890	image 含 NaN/Inf
val	32741	image 含 NaN/Inf
val	5839	image 含 NaN/Inf
val	32800	image 含 NaN/Inf
val	32811	image 含 NaN/Inf
val	32801	image 含 NaN/Inf
val	26529	image 含 NaN/Inf
val	58345	image 含 NaN/Inf
val	31450	image 含 NaN/Inf
val	12513	image 含 NaN/Inf
val	26532	image 含 NaN/Inf
val	360	image 含 NaN/Inf
val	57950	image 含 NaN/Inf
val	361	image 含 NaN/Inf
val	9129	image 含 NaN/Inf
val	59896	image 含 NaN/Inf
val	28123	image 含 NaN/Inf
val	59481	image 含 NaN/Inf
val	36782	image 含 NaN/Inf
val	15085	image 含 NaN/Inf
val	47283	image 含 NaN/Inf
val	32809	image 含 NaN/Inf
val	26535	image 含 NaN/Inf
val	14953	image 含 NaN/Inf
val	23745	image 含 NaN/Inf
val	53055	image 含 NaN/Inf
val	15087	image 含 NaN/Inf
val	12519	image 含 NaN/Inf
val	60205	image 含 NaN/Inf
val	60211	image 含 NaN/Inf
val	32742	image 含 NaN/Inf
val	57088	image 含 NaN/Inf
val	23748	image 含 NaN/Inf
val	5848	image 含 NaN/Inf
val	58348	image 含 NaN/Inf
val	57100	image 含 NaN/Inf
val	59831	image 含 NaN/Inf
val	62301	image 含 NaN/Inf
val	32745	image 含 NaN/Inf
val	57099	image 含 NaN/Inf
val	50199	image 含 NaN/Inf
val	351	image 含 NaN/Inf
val	60202	image 含 NaN/Inf
val	56868	image 含 NaN/Inf
val	22687	image 含 NaN/Inf
val	23746	image 含 NaN/Inf
val	30229	image 含 NaN/Inf
val	59829	image 含 NaN/Inf
val	52026	image 含 NaN/Inf
val	22684	image 含 NaN/Inf
val	47288	image 含 NaN/Inf
val	40636	image 含 NaN/Inf
val	28124	image 含 NaN/Inf
val	60207	image 含 NaN/Inf
